49	53	93	95	20	93
16	23	77	38	54	25
61	65	13	34	27	41
88	16	68	64	97	27
66	26	99	19	54	34
28	10	25	63	98	87
19	61	77	85	93	97
77	55	49	24	13	25
51	90	93	70	100	30
87	57	44	12	42	35
45	80	74	39	50	85
74	96	20	95	46	78
49	71	20	57	79	51
69	67	99	11	75	32
53	32	64	38	31	66
60	69	63	11	74	90
80	35	63	26	31	58
24	88	65	82	15	86
84	39	44	39	77	19
62	43	24	62	32	98
50	51	73	35	27	34
88	71	93	65	52	91
86	47	45	34	68	86
59	50	40	85	24	45
72	35	88	14	69	98
68	87	73	34	68	31
76	61	84	55	94	67
87	59	66	25	39	79
75	15	43	17	69	78
12	40	16	75	18	54
86	65	82	86	11	24
58	70	91	68	71	23
19	98	87	50	21	35
15	30	21	86	13	97
95	37	46	38	53	44
76	55	83	47	64	95
14	79	48	28	36	63
50	53	14	79	95	66
24	75	57	92	98	86
62	78	67	25	84	16
15	42	19	88	60	84
77	42	82	84	59	51
80	23	84	71	83	20
17	60	42	70	83	10
69	21	55	74	94	90
11	42	15	30	79	83
13	29	76	60	31	39
71	97	91	11	94	30
86	52	81	76	20	92
52	50	19	92	12	62
90	82	20	88	30	100
52	81	13	56	85	74
83	49	65	17	28	50
98	86	40	73	55	60
64	24	73	50	39	74
79	69	83	94	86	100
50	92	61	48	72	11
17	50	67	79	76	53
14	87	19	22	17	31
42	13	64	100	24	23
55	75	82	14	63	27
93	86	65	35	18	52
53	26	62	92	33	62
15	78	54	83	50	76
37	22	55	10	54	32
67	56	89	35	85	51
21	62	97	74	100	18
57	72	32	47	21	94
54	82	52	91	48	95
88	69	87	63	57	71
92	83	28	23	59	87
51	30	78	73	96	26
15	28	60	10	36	32
98	96	89	82	77	95
24	64	74	57	27	37
94	81	64	41	71	62
62	27	16	87	96	96
46	21	85	26	91	66
25	83	83	85	79	62
10	52	10	64	67	53
84	74	10	54	69	85
47	22	97	37	21	48
75	88	68	78	32	46
16	98	98	85	20	88
51	97	96	26	45	18
30	80	90	68	10	61
45	72	26	67	64	95
98	23	65	54	22	51
65	32	77	83	89	18
14	33	71	81	63	87
22	80	65	98	64	38
30	82	59	78	26	62
100	11	91	50	54	49
14	66	30	24	64	16
43	69	14	79	63	82
95	10	68	80	23	65
84	67	92	73	35	94
78	45	19	95	92	12
71	17	54	15	46	38
66	86	94	51	91	73
48	47	44	62	10	66
84	92	81	25	74	31
70	55	63	27	12	22
14	69	22	83	52	69
36	82	85	27	25	35
52	69	51	88	93	12
15	70	94	31	74	21
31	33	86	63	54	62
12	24	84	50	61	27
44	40	28	42	56	36
65	93	41	10	58	27
98	77	74	33	73	57
77	37	43	57	60	56
85	20	61	62	20	13
87	92	20	22	23	11
30	39	77	94	70	82
80	77	26	12	86	64
19	28	95	13	49	94
24	44	86	86	41	88
11	77	82	73	51	78
91	67	39	87	93	28
36	68	30	92	79	14
99	78	29	88	84	89
15	21	11	78	30	79
37	50	24	25	97	28
44	97	62	46	55	56
90	29	83	51	15	78
44	81	46	45	42	59
64	51	92	22	73	59
79	41	87	88	47	87
44	83	83	99	35	69
71	49	35	40	37	10
23	46	42	68	37	66
95	30	59	61	58	61
80	99	85	49	77	26
64	20	25	24	33	44
26	39	83	23	29	39
34	85	74	71	52	94
98	50	87	46	26	50
54	62	45	82	57	24
47	15	48	43	73	40
80	21	70	44	46	48
40	77	100	80	76	53
78	31	48	67	99	42
46	93	32	65	22	31
71	19	33	17	75	74
26	33	27	50	81	34
52	25	78	36	100	77
20	52	60	85	85	71
97	12	76	55	39	73
88	36	19	35	55	60
41	73	17	52	38	28
13	32	90	57	50	35
92	87	57	60	94	28
14	16	91	35	75	95
34	80	33	46	25	51
50	38	73	33	18	50
35	91	69	46	21	85
47	74	61	78	76	66
82	79	32	60	37	85
26	75	43	19	19	54
33	38	26	36	51	26
53	98	72	44	92	38
14	50	87	28	42	79
59	20	20	35	76	71
86	73	47	49	31	90
31	23	37	12	15	64
78	38	67	36	80	31
41	42	88	62	11	73
72	20	81	90	37	81
67	30	57	57	41	41
76	86	41	38	40	97
47	15	55	14	20	19
34	44	65	75	11	49
30	80	77	28	94	48
36	15	36	64	45	28
16	37	37	91	81	85
89	55	40	61	36	95
56	89	84	32	60	83
82	97	70	38	57	57
23	38	97	56	63	27
58	94	30	70	31	79
66	23	84	27	44	15
79	81	17	32	30	22
80	98	54	68	91	69
46	27	53	99	61	19
96	94	93	17	76	69
71	99	52	72	33	12
20	78	90	100	99	19
22	37	13	89	63	44
46	76	35	40	20	90
40	32	60	44	36	19
21	19	74	88	73	22
53	18	28	52	54	93
25	76	37	38	34	46
49	72	10	94	19	36
77	68	89	31	73	41
81	38	36	64	50	12
50	96	89	86	75	15
34	63	90	55	76	15
94	80	16	67	43	86
36	96	66	79	43	92
91	28	40	44	69	22
34	39	17	62	25	97
43	39	81	72	80	94
90	37	58	10	59	91
88	59	28	16	11	38
49	72	80	40	15	81
68	32	83	74	13	55
53	85	16	16	90	93
93	43	43	59	34	23
81	61	99	64	88	94
22	67	94	14	66	31
64	43	37	70	12	66
54	87	47	83	96	81
63	83	86	34	53	90
86	65	73	16	97	95
83	24	31	45	36	16
28	34	51	93	62	86
34	49	89	19	62	80
88	95	37	63	11	15
86	58	55	43	30	78
21	38	56	67	57	82
79	71	82	34	61	44
65	43	93	99	81	75
16	58	67	39	46	90
69	15	64	26	66	84
58	81	95	40	41	39
13	49	40	23	83	71
40	92	39	54	79	42
78	23	60	81	98	53
